PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=339 ttl=114 time=21.4 ms
64 bytes from 8.8.8.8: icmp_seq=340 ttl=114 time=32.3 ms
64 bytes from 8.8.8.8: icmp_seq=341 ttl=114 time=31.5 ms
64 bytes from 8.8.8.8: icmp_seq=342 ttl=114 time=21.7 ms
64 bytes from 8.8.8.8: icmp_seq=343 ttl=114 time=35.7 ms
64 bytes from 8.8.8.8: icmp_seq=344 ttl=114 time=24.3 ms
64 bytes from 8.8.8.8: icmp_seq=345 ttl=114 time=28.5 ms
64 bytes from 8.8.8.8: icmp_seq=346 ttl=114 time=32.0 ms
64 bytes from 8.8.8.8: icmp_seq=347 ttl=114 time=26.6 ms
64 bytes from 8.8.8.8: icmp_seq=348 ttl=114 time=24.8 ms
64 bytes from 8.8.8.8: icmp_seq=349 ttl=114 time=24.8 ms
64 bytes from 8.8.8.8: icmp_seq=350 ttl=114 time=23.0 ms
64 bytes from 8.8.8.8: icmp_seq=351 ttl=114 time=26.9 ms
64 bytes from 8.8.8.8: icmp_seq=352 ttl=114 time=25.5 ms
64 bytes from 8.8.8.8: icmp_seq=353 ttl=114 time=24.4 ms
